2025-06-14 01:34:46 INFO Starting training with configuration: {'model': {'name': 'unet', 'alias': 'unet_resnet18', 'encoder_name': 'resnet18', 'encoder_weights': 'None', 'in_channels': 1, 'classes': 1, 'activation': 'sigmoid', 'dropout': 0.0}, 'dataset': {'root': '/home/smadper/TFM/datasets/laticifers', 'image_size': [512, 512], 'patch_size': [512, 512], 'stride': [256, 256], 'num_patches': 20, 'dataset_csv': 'laticifer_dataset_index.csv', 'num_workers': 8, 'dist_transform': True}, 'train': {'batch_size': 1, 'num_epochs': 150, 'learning_rate': 0.001, 'accumulation_steps': 1, 'save_dir': '/home/smadper/TFM/checkpoints', 'log_interval': 1, 'patience': 15, 'experiment_name': 'unet_patched_overlapped_combined_topoloss', 'timestamp': '20250614_013446'}, 'test': {'batch_size': 1, 'save_dir': '/home/smadper/TFM/results'}}
2025-06-14 01:34:46 INFO Loading model unet with settings {'name': 'unet', 'alias': 'unet_resnet18', 'encoder_name': 'resnet18', 'encoder_weights': 'None', 'in_channels': 1, 'classes': 1, 'activation': 'sigmoid', 'dropout': 0.0}
2025-06-14 01:35:58 INFO Epoch 001 | Train Loss: 1.9621 | Val Loss: 2.0982 | Dice: 0.2541 | IoU: 0.2286 | LR: 0.001000
2025-06-14 01:37:08 INFO Epoch 002 | Train Loss: 1.9111 | Val Loss: 1.8423 | Dice: 0.3546 | IoU: 0.2831 | LR: 0.001000
2025-06-14 01:38:23 INFO Epoch 003 | Train Loss: 1.8793 | Val Loss: 1.7922 | Dice: 0.4281 | IoU: 0.3428 | LR: 0.001000
2025-06-14 01:39:29 INFO Epoch 004 | Train Loss: 1.8451 | Val Loss: 2.0668 | Dice: 0.2711 | IoU: 0.2501 | LR: 0.001000
2025-06-14 01:40:11 INFO Epoch 005 | Train Loss: 1.8177 | Val Loss: 1.8170 | Dice: 0.4321 | IoU: 0.3506 | LR: 0.001000
2025-06-14 01:40:50 INFO Epoch 006 | Train Loss: 1.7940 | Val Loss: 1.7154 | Dice: 0.4705 | IoU: 0.3792 | LR: 0.001000
2025-06-14 01:41:29 INFO Epoch 007 | Train Loss: 1.7469 | Val Loss: 1.6763 | Dice: 0.4774 | IoU: 0.3859 | LR: 0.001000
2025-06-14 01:42:08 INFO Epoch 008 | Train Loss: 1.7569 | Val Loss: 1.6594 | Dice: 0.4789 | IoU: 0.3808 | LR: 0.001000
2025-06-14 01:42:47 INFO Epoch 009 | Train Loss: 1.7574 | Val Loss: 1.6400 | Dice: 0.4940 | IoU: 0.4013 | LR: 0.001000
2025-06-14 01:43:25 INFO Epoch 010 | Train Loss: 1.7093 | Val Loss: 1.6357 | Dice: 0.4351 | IoU: 0.3469 | LR: 0.001000
2025-06-14 01:44:04 INFO Epoch 011 | Train Loss: 1.7150 | Val Loss: 1.5958 | Dice: 0.5095 | IoU: 0.4113 | LR: 0.001000
2025-06-14 01:44:43 INFO Epoch 012 | Train Loss: 1.7089 | Val Loss: 1.5864 | Dice: 0.5101 | IoU: 0.4134 | LR: 0.001000
2025-06-14 01:45:22 INFO Epoch 013 | Train Loss: 1.7166 | Val Loss: 1.5925 | Dice: 0.4946 | IoU: 0.4007 | LR: 0.001000
2025-06-14 01:46:00 INFO Epoch 014 | Train Loss: 1.7315 | Val Loss: 1.5691 | Dice: 0.5202 | IoU: 0.4195 | LR: 0.001000
2025-06-14 01:46:39 INFO Epoch 015 | Train Loss: 1.6671 | Val Loss: 1.6263 | Dice: 0.4868 | IoU: 0.3926 | LR: 0.001000
2025-06-14 01:47:18 INFO Epoch 016 | Train Loss: 1.6593 | Val Loss: 1.6540 | Dice: 0.5091 | IoU: 0.4095 | LR: 0.001000
2025-06-14 01:47:57 INFO Epoch 017 | Train Loss: 1.6730 | Val Loss: 1.6606 | Dice: 0.4929 | IoU: 0.3951 | LR: 0.001000
2025-06-14 01:48:36 INFO Epoch 018 | Train Loss: 1.6835 | Val Loss: 1.5533 | Dice: 0.4788 | IoU: 0.3774 | LR: 0.001000
2025-06-14 01:49:15 INFO Epoch 019 | Train Loss: 1.6332 | Val Loss: 1.9901 | Dice: 0.3895 | IoU: 0.2977 | LR: 0.001000
