2025-06-11 21:25:18 INFO Starting training with configuration: {'model': {'name': 'unet', 'alias': 'unet_resnet18', 'encoder_name': 'resnet18', 'encoder_weights': 'None', 'in_channels': 1, 'classes': 1, 'activation': 'sigmoid', 'dropout': 0.2}, 'dataset': {'root': '/home/smadper/TFM/datasets/laticifers', 'image_size': [512, 512], 'patch_size': [512, 512], 'stride': [256, 256], 'num_patches': 10, 'dataset_csv': 'laticifer_dataset_index.csv', 'num_workers': 4}, 'train': {'batch_size': 4, 'num_epochs': 150, 'learning_rate': 0.001, 'accumulation_steps': 1, 'save_dir': '/home/smadper/TFM/checkpoints', 'log_interval': 1, 'patience': 15, 'experiment_name': 'unet_resnet18_patched_overlapped', 'timestamp': '20250611_212518'}, 'test': {'batch_size': 1, 'save_dir': '/home/smadper/TFM/results'}}
2025-06-11 21:25:18 INFO Loading model unet with settings {'name': 'unet', 'alias': 'unet_resnet18', 'encoder_name': 'resnet18', 'encoder_weights': 'None', 'in_channels': 1, 'classes': 1, 'activation': 'sigmoid', 'dropout': 0.2}
2025-06-11 21:25:40 INFO Epoch 001 | Train Loss: 0.8580 | Val Loss: 0.9067 | Dice: 0.3130 | IoU: 0.2436 | LR: 0.001000
2025-06-11 21:26:01 INFO Epoch 002 | Train Loss: 0.8067 | Val Loss: 0.8020 | Dice: 0.3410 | IoU: 0.2851 | LR: 0.001000
2025-06-11 21:26:23 INFO Epoch 003 | Train Loss: 0.7890 | Val Loss: 0.8138 | Dice: 0.3433 | IoU: 0.2977 | LR: 0.001000
2025-06-11 21:26:45 INFO Epoch 004 | Train Loss: 0.7959 | Val Loss: 0.7613 | Dice: 0.3958 | IoU: 0.3283 | LR: 0.001000
2025-06-11 21:27:07 INFO Epoch 005 | Train Loss: 0.7785 | Val Loss: 0.7784 | Dice: 0.3993 | IoU: 0.3168 | LR: 0.001000
2025-06-11 21:27:29 INFO Epoch 006 | Train Loss: 0.7677 | Val Loss: 0.7583 | Dice: 0.4289 | IoU: 0.3512 | LR: 0.001000
2025-06-11 21:27:51 INFO Epoch 007 | Train Loss: 0.7609 | Val Loss: 0.7480 | Dice: 0.4616 | IoU: 0.3769 | LR: 0.001000
2025-06-11 21:28:13 INFO Epoch 008 | Train Loss: 0.7503 | Val Loss: 0.8650 | Dice: 0.3080 | IoU: 0.2777 | LR: 0.001000
2025-06-11 21:28:35 INFO Epoch 009 | Train Loss: 0.7563 | Val Loss: 0.7449 | Dice: 0.4184 | IoU: 0.3444 | LR: 0.001000
2025-06-11 21:28:57 INFO Epoch 010 | Train Loss: 0.7417 | Val Loss: 0.7300 | Dice: 0.4412 | IoU: 0.3635 | LR: 0.001000
2025-06-11 21:29:18 INFO Epoch 011 | Train Loss: 0.7336 | Val Loss: 0.7363 | Dice: 0.4175 | IoU: 0.3419 | LR: 0.001000
